Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
0,-121.99,37.27,21.0,1214.0,192.0,500.0,185.0,7.598,<1H OCEAN,342501.12
1,-117.63,34.37,20.0,7052.0,1306.0,2197.0,810.0,3.7252,INLAND,141189.0
2,-118.58,34.21,27.0,2209.0,353.0,1034.0,344.0,4.7125,<1H OCEAN,227854.0
3,-122.12,37.85,18.0,5252.0,686.0,1870.0,657.0,8.0074,NEAR BAY,423922.03
4,-122.28,37.88,52.0,1172.0,215.0,489.0,218.0,3.9167,NEAR BAY,247011.0
5,-117.98,33.94,36.0,4297.0,717.0,2038.0,700.0,5.2851,<1H OCEAN,227263.0
6,-117.99,33.82,21.0,2281.0,557.0,1510.0,460.0,2.8625,<1H OCEAN,188094.0
7,-120.56,35.13,15.0,5818.0,924.0,2324.0,845.0,4.4033,<1H OCEAN,240573.0
8,-121.22,37.93,21.0,336.0,68.0,206.0,73.0,4.75,INLAND,159001.0
9,-121.77,37.74,25.0,494.0,81.0,254.0,85.0,9.1531,INLAND,451522.45
10,-122.27,37.43,33.0,1601.0,223.0,629.0,215.0,15.0001,NEAR OCEAN,500001.0
11,-118.23,33.97,47.0,932.0,295.0,1226.0,264.0,1.6065,<1H OCEAN,101443.0
12,-117.28,34.17,26.0,3728.0,888.0,1765.0,727.0,1.7456,INLAND,88966.0
13,-122.16,38.9,33.0,1221.0,236.0,488.0,199.0,3.7574,INLAND,131858.0
14,-117.98,33.71,24.0,3430.0,548.0,1601.0,512.0,5.6825,<1H OCEAN,255473.0
15,-118.21,33.95,35.0,2129.0,614.0,2376.0,618.0,2.0372,<1H OCEAN,155502.0
16,-118.26,34.16,17.0,2943.0,769.0,1312.0,656.0,3.1484,<1H OCEAN,227793.0
17,-122.24,38.11,52.0,2111.0,310.0,772.0,323.0,4.775,NEAR BAY,311602.01
18,-118.46,33.98,19.0,2520.0,726.0,964.0,663.0,3.8068,<1H OCEAN,411033.42
19,-117.74,33.89,4.0,37937.0,5471.0,16122.0,5189.0,7.4947,<1H OCEAN,349961.02
20,-118.23,33.93,37.0,239.0,49.0,308.0,52.0,1.4028,<1H OCEAN,113089.0
21,-115.98,33.32,8.0,240.0,46.0,63.0,24.0,1.4688,INLAND,97027.0
22,-117.16,32.75,49.0,1566.0,494.0,643.0,419.0,1.9637,NEAR OCEAN,191333.01
23,-121.78,37.66,25.0,1947.0,418.0,900.0,354.0,3.8523,INLAND,176200.0
24,-117.68,33.55,5.0,2262.0,427.0,1016.0,402.0,6.065,<1H OCEAN,275307.01
25,-121.98,37.74,8.0,2865.0,389.0,1376.0,417.0,7.9393,<1H OCEAN,386935.02
26,-118.14,34.18,47.0,3457.0,622.0,1700.0,579.0,3.5164,<1H OCEAN,280482.0
27,-117.99,33.79,33.0,2064.0,324.0,1384.0,315.0,4.5263,<1H OCEAN,203559.0
28,-117.31,34.02,18.0,1634.0,274.0,899.0,285.0,5.2139,INLAND,151961.0
29,-118.35,33.93,33.0,2040.0,576.0,2649.0,561.0,2.3375,<1H OCEAN,160339.0
30,-118.12,33.75,47.0,3330.0,569.0,1220.0,557.0,7.3672,NEAR OCEAN,460933.56
31,-119.73,34.45,44.0,2261.0,328.0,763.0,294.0,6.7449,<1H OCEAN,462796.65
32,-121.2,38.66,17.0,1605.0,217.0,732.0,241.0,5.47,INLAND,206360.0
33,-121.26,38.66,8.0,1145.0,241.0,447.0,216.0,4.0781,INLAND,160974.0
34,-117.88,34.0,21.0,5459.0,1086.0,3394.0,1087.0,3.6308,<1H OCEAN,181263.0
35,-118.01,33.76,26.0,2141.0,597.0,2038.0,585.0,2.2981,<1H OCEAN,173539.0
36,-121.0,37.65,52.0,3887.0,803.0,1768.0,779.0,2.5089,INLAND,115504.0
37,-119.31,36.2,23.0,1837.0,332.0,1064.0,335.0,3.1453,INLAND,91036.0
38,-122.5,38.82,12.0,2394.0,443.0,877.0,341.0,2.5625,INLAND,122104.0
39,-119.73,36.83,14.0,3348.0,491.0,1584.0,493.0,5.0828,INLAND,123208.0
40,-118.35,34.06,52.0,3446.0,1360.0,1768.0,1245.0,2.4722,<1H OCEAN,341807.16
41,-118.22,33.94,42.0,1046.0,287.0,1218.0,289.0,2.6538,<1H OCEAN,122703.0
42,-122.04,37.0,52.0,3365.0,644.0,796.0,333.0,2.9712,NEAR OCEAN,269908.04
43,-121.78,37.69,34.0,2358.0,498.0,1157.0,461.0,3.3618,INLAND,159824.0
44,-119.31,35.99,26.0,1460.0,316.0,880.0,286.0,1.3676,INLAND,51384.0
45,-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,<1H OCEAN,161714.0
46,-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,<1H OCEAN,157505.0
47,-122.27,38.31,44.0,3030.0,589.0,1373.0,582.0,2.9054,NEAR BAY,145554.0
48,-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,INLAND,321642.01
49,-117.92,33.62,35.0,1821.0,335.0,727.0,316.0,6.5842,<1H OCEAN,401061.22
50,-121.81,38.49,18.0,4518.0,827.0,2230.0,715.0,3.9309,INLAND,157818.0
51,-121.38,38.41,10.0,3425.0,629.0,1538.0,587.0,4.45,INLAND,145798.0
52,-119.79,36.75,52.0,377.0,97.0,530.0,96.0,1.0,INLAND,55530.0
53,-121.4,38.71,15.0,4680.0,758.0,2626.0,729.0,3.8355,INLAND,117634.0
54,-122.27,37.24,30.0,2762.0,593.0,1581.0,502.0,5.1002,NEAR OCEAN,356957.07
55,-121.86,37.35,43.0,1536.0,371.0,1256.0,357.0,2.8,<1H OCEAN,183128.0
56,-118.15,34.0,32.0,3218.0,739.0,2368.0,730.0,3.1406,<1H OCEAN,215790.0
57,-121.02,39.01,17.0,4786.0,799.0,2066.0,770.0,3.9734,INLAND,163655.0
58,-119.29,36.32,35.0,1898.0,481.0,1123.0,433.0,1.1419,INLAND,56477.0
59,-119.06,34.36,52.0,1409.0,359.0,981.0,304.0,2.7951,<1H OCEAN,204876.01
60,-117.12,32.91,8.0,3405.0,961.0,1742.0,918.0,2.8728,<1H OCEAN,147139.0
61,-117.9,33.91,33.0,4181.0,804.0,2049.0,834.0,4.3103,<1H OCEAN,199027.0
62,-122.43,37.73,49.0,1435.0,322.0,1008.0,329.0,4.0,NEAR BAY,259639.0
63,-122.24,38.01,16.0,2084.0,315.0,1154.0,307.0,6.0102,NEAR BAY,244732.01
64,-117.77,33.53,46.0,1033.0,223.0,462.0,224.0,3.2708,<1H OCEAN,387429.43
65,-119.69,36.25,35.0,2011.0,349.0,970.0,300.0,2.395,INLAND,65802.0
66,-118.29,34.03,42.0,1680.0,557.0,2099.0,526.0,1.9167,<1H OCEAN,148804.0
67,-117.95,33.97,33.0,1113.0,145.0,424.0,137.0,8.3474,<1H OCEAN,447498.49
68,-119.79,36.82,25.0,2330.0,462.0,1215.0,467.0,3.2143,INLAND,83728.0
69,-121.92,37.27,29.0,5536.0,862.0,2651.0,881.0,5.6358,<1H OCEAN,281805.0
70,-122.34,37.93,30.0,2515.0,481.0,1327.0,428.0,2.1287,NEAR BAY,113218.0
71,-118.18,34.2,44.0,1473.0,250.0,668.0,239.0,8.72,<1H OCEAN,489736.68
72,-116.93,32.83,21.0,1283.0,278.0,684.0,289.0,2.3203,<1H OCEAN,127254.0
73,-119.7,34.43,37.0,1462.0,306.0,678.0,322.0,5.1545,<1H OCEAN,309036.08
74,-122.08,37.58,16.0,3349.0,544.0,2003.0,488.0,6.0074,NEAR BAY,297315.01
75,-122.38,37.6,33.0,2577.0,590.0,1867.0,566.0,3.3632,NEAR OCEAN,325574.0
